layer	species	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	temp	cont	light
T	Alnus incana																									1			2		3	3	3
T	Larix decidua																											+			2	4	4
T	Picea abies (L.) H. Karst.	4																			4					1		1	2	2	2.5	3	1
T	Pinus sylvestris L.																											2		2		4	4
T	Prunus padus																									2				r	4	2	2
S	Acer pseudoplatanus	1																													3	2	2
S	Alnus incana																											r	+		3	3	3
S	Berberis vulgaris	+																											1	1	3	4	3
S	Betula pubescens																											+			3	3	4
S	Fraxinus exelsior																												r		3.5	3	3
S	Juniperus communis (S)+k																						r							+	3.5	4	4
S	Larix decidua													1														1			2	4	4
S	Lonicera alpigena																													r	2.5	2	2
S	Picea abies (L.) H. Karst.	r																					2					+	1	1	2.5	3	1
S	Pinus mugo Turra																											3			2	4	4
S	Prunus padus																												2		4	2	2
S	Salix nigricans																											+			2.5	3	4
S	Sorbus aucuparia L.																											+	+		3	3	3
H	Acer pseudoplatanus	3																											r	r	3	2	2
H	Achillea atrata																	+													2	3	5
H	Achillea millefolium aggr.		1									+							1	1					1	+	1		1				4
H	Aconitum lycoctonum subsp. vulparia	r																													3	2	2
H	Actaea spicata																												+		3	3	1
H	Adenostyles alliariae																												+		2	2	2
H	Aegopodium podagraria																									1			3		3.5	3	2
H	Agrostis capillaris L.		1									2	+						1	1		2	1	+	1						3	3	3
H	Agrostis spec.																										2						
H	Agrostis stolonifera																									1			2		3	3	3
H	Ajuga pyramidalis								1																					+	2	3	4
H	Alchemilla vulgaris aggr. (= spec.)		1				1	1		2		1				2	+		1	1		1	1		1		2		1				
H	Allium oleraceum				+																										3.5	3	3
H	Alnus incana																												1		3	3	3
H	Alopecurus pratensis											2																			4	3	4
H	Antenneria dioica																			+		r									2	3	4
H	Anthoxanthum odoratum aggr. inkl. alpinum	r					1	1		1		2	2			2	1		2	+		1		1	+		2	+		1	3.5	3	4
H	Anthyllis vulneraria L. incl. subsp. alpestris			+				2	1		1							1		1		1					+						4
H	Aquilegia atrata																													1	3	3	3
H	Arabis bellidifolia																	1					1								1.5	3	5
H	Arctostaphylos alpina													1																	1.5	2	3
H	Arctostaphylos uva-ursi													3			2														2	4	3
H	Arnica montana L.						1						+							1		+			r		1				2	3	4
H	Asplenium viride HUDS.								+									1													2	2	2
H	Bartsia alpina L.						1								+	1		1						1							2	3	4
H	Bellidiastrum michelii= Aster bellidiastrum			1					1		r	+			1			1													2	3	3
H	Berberis vulgaris	r																												+	3	4	3
H	Betula pubescens																											1		r	3	3	4
H	Biscutella laevigata L.			1					1	1	1				+			1		r											2	3	4
H	Bistorta vivipara = Polygonum/Persicaria vivip.				1			2	+	r								+		1		1			+						1.5	3	4
H	Brachypodium pinnatum aggr.				3																												3
H	Brachypodium rupestre																													2	3.5	3	4
H	Briza media L.			1								1				+				1		1		r			2				3	4	4
H	Buphthalmum salicifolium L.			1	1																										3	4	3
H	Calamagrostis varia (Schrad.) Host	+		3	2																						3			1	3	3	3
H	Callianthemum coriandrifolium Rchb.					1		1			1				+		1														1.5	2	4
H	Calluna vulgaris (L.) Hull						2													3		1		1			2	2			2.5	2	3
H	Caltha palustris															1															3	3	3
H	Campanula barbata L.																			+		r									2	3	4
H	Campanula cochleariifolia								+									+													2	3	4
H	Campanula persicifolia																		1												4	4	3
H	Campanula rapunculoides																													r	4	4	3
H	Campanula rotundifolia L.	r						1		1						+				1			r		1		1						4
H	Campanula scheuchzeri Vill.		1								+	r										1									1.5	3	4
H	Campanula trachelium																									+			+		3.5	3	2
H	Carduus defloratus L.			1	1																										2.5	4	4
H	Carex alba Scop.	2												1																1	3	4	3
H	Carex atrata																	r													2	2	4
H	Carex caryophyllea																			+		1	1		1		+				3	4	4
H	Carex dioica L.																							1							3	3	4
H	Carex echinata Murray															1								1							3	2	3
H	Carex ericetorum																						1								3	5	4
H	Carex ferruginea Scop.			1	2										2																2	2	4
H	Carex firma Host								+		4							2													1.5	5	5
H	Carex flacca																						1		+				1	1	3	3	3
H	Carex flava agg.															1																3	3
H	Carex montana																			1		2	2		1		3				3	4	3
H	Carex nigra (L.) Reichard					1						1	2			1															2.5	2	4
H	Carex ornithopoda	+								+																	2		1		3.5	3	3
H	Carex pallescens											1				1							r	1	1						3	3	3
H	Carex panicea L.															1								1							3	3	4
H	Carex paucifloa Lightf.																							1							2	2	4
H	Carex sempervirens KS			2			1	2	2	1	2				2			2		+		1	+				2				1.5	4	4
H	Carex sylvatica																									1			1		3.5	3	2
H	Carlina acaulis			1	1		r													1		1	1		+		+				2	3	4
H	Carum carvi											2											+		+				+		2.5	3	4
H	Centaurea pseudophrygia																		1	1											2.5	3	4
H	Cerastium fontanum agg. Baumg. (incl. holosteoides)																					1	+		1				+			3	4
H	Chaerophyllum hirsutum aggr. (incl. Ch. villarsii)		2									+							1								1		1	+	2.5	3	4
H	Chamorchis alpina										r																				2	4	5
H	Chrysosplenium alternifolium																												r		3	3	2
H	Circaea alpina																												1		2.5	2	2
H	Circaea lutetiana																												1		3.5	2	2
H	Cirsium arvense																		+						r				+		4	3	3
H	Cirsium erisithales	+																													2.5	4	2
H	Cirsium heterophyllum = C. helenioides											2	1																		2.5	4	3
H	Cirsium oleraceum																												+		3	3	3
H	Cirsium palustre																						+		r						4	3	3
H	Cirsium spec.				1																												
H	Clematis alpina	+																												r	2	3	3
H	Coeloglossum viride = Dactylorhiza viridis							r																							2	3	4
H	Crepis biennis											2																			4	3	4
H	Crepis conyzifolia (Gouan) A. Kern.																		2			2									2	3	4
H	Crepis paludosa (L.) Moench															2													1		3	2	3
H	Crocus albiflorus Schult.												1			+				+		1					+				2.5	3	4
H	Cuscuta c.f. epithymum 																			r		1									3	3	4
H	Cynosurus cristatus																						r								3	2	4
H	Cystopteris montana																				r										2.5	2	3
H	Dactylis glomerata aggr.		1									2				1										1			2		4	3	4
H	Dactylorhiza fuchsii	+														+								1		1		r	+	r		3	4
H	Daphne mezereum 																						+ 							+	3	3	2
H	Daphne striata Tratt.			+							2																				1.5	3	3
H	Daucus carota																			r											4	3	4
H	Delphinium elatum																												1		2	2	3
H	Deschampsia caespitosa (L.) P. Beauv.									1		1	+			1						1		1					1		3	3	3
H	Deschampsia flexuosa (L.) Trin.	+																			3				1		1					3	3
H	Drosera rotundifolia																							2							3	3	4
H	Dryas octopetala L.							1	2		2				2			2													1.5	3	5
H	Dryopteris carthusiana (Vill.) H. P. Fuchs																				+										3	3	2
H	Dryopteris dilatata																				2								+		2.5	3	2
